Position,Points,Name,Known.For,Birth.Date,Wiki_Name
351,9378,Bruce Greenwood,Star Trek,12/08/1956,Bruce_Greenwood
352,9378,Anton Yelchin,Star Trek,11/03/1989,Anton_Yelchin
353,9330,George C. Scott,Patton,18/10/1927,George_C._Scott
354,9321,Song Kang-ho,Salinui chueok,17/01/1967,Song_Kang-ho
355,9321,Lee Sun-kyun,Gisaengchung,02/03/1975,Lee_Sun-kyun
356,9321,Choi Woo-sik,Gisaengchung,26/03/1990,Choi_Woo-sik
357,9298,Joseph Cotten,The Third Man,15/05/1905,Joseph_Cotten
358,9297,Jeremy Irons,Dead Ringers,19/09/1948,Jeremy_Irons
359,9248,Toshirô Mifune,Yôjinbô,01/04/1920,Toshirô_Mifune
360,9219,Griffin Dunne,After Hours,08/06/1955,Griffin_Dunne
361,9209,Arnold Schwarzenegger,Terminator 2: Judgment Day,30/07/1947,Arnold_Schwarzenegger
